id_tiempo,anio,trimestre,mes,semana_mes,semana_anio,dia_semana,dia,hora,minuto
200506199999,2005,2,6,3,24,Domingo,19,99,99
200506209999,2005,2,6,4,25,Lunes,20,99,99
200506219999,2005,2,6,4,25,Martes,21,99,99
200506229999,2005,2,6,4,25,Miércoles,22,99,99
200506239999,2005,2,6,4,25,Jueves,23,99,99
200506249999,2005,2,6,4,25,Viernes,24,99,99
200506259999,2005,2,6,4,25,Sábado,25,99,99
200506269999,2005,2,6,4,25,Domingo,26,99,99
200506279999,2005,2,6,5,26,Lunes,27,99,99
200506289999,2005,2,6,5,26,Martes,28,99,99
200506299999,2005,2,6,5,26,Miércoles,29,99,99
200506309999,2005,2,6,5,26,Jueves,30,99,99
200507019999,2005,3,7,1,26,Viernes,1,99,99
200507029999,2005,3,7,1,26,Sábado,2,99,99
200507039999,2005,3,7,1,26,Domingo,3,99,99
200507049999,2005,3,7,2,27,Lunes,4,99,99
200507059999,2005,3,7,2,27,Martes,5,99,99
200507069999,2005,3,7,2,27,Miércoles,6,99,99
200507079999,2005,3,7,2,27,Jueves,7,99,99
200507089999,2005,3,7,2,27,Viernes,8,99,99
200507099999,2005,3,7,2,27,Sábado,9,99,99
200507109999,2005,3,7,2,27,Domingo,10,99,99
200507119999,2005,3,7,3,28,Lunes,11,99,99
200507129999,2005,3,7,3,28,Martes,12,99,99
200507139999,2005,3,7,3,28,Miércoles,13,99,99
200507149999,2005,3,7,3,28,Jueves,14,99,99
200507159999,2005,3,7,3,28,Viernes,15,99,99
200507169999,2005,3,7,3,28,Sábado,16,99,99
200507179999,2005,3,7,3,28,Domingo,17,99,99
200507189999,2005,3,7,4,29,Lunes,18,99,99
200507199999,2005,3,7,4,29,Martes,19,99,99
200507209999,2005,3,7,4,29,Miércoles,20,99,99
200507219999,2005,3,7,4,29,Jueves,21,99,99
200507229999,2005,3,7,4,29,Viernes,22,99,99
200507239999,2005,3,7,4,29,Sábado,23,99,99
200507249999,2005,3,7,4,29,Domingo,24,99,99
200507259999,2005,3,7,5,30,Lunes,25,99,99
200507269999,2005,3,7,5,30,Martes,26,99,99
200507279999,2005,3,7,5,30,Miércoles,27,99,99
