id_delito,violencia,categoria_cndfe_snieg_2018,variable_cndfe_snieg_2018,categoria_fgj,clase_cndfe_snieg_2018,codificacion_cndfe_snieg_2018,delito_fgj
1,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Homicidio,01.01,Homicidio por arma de fuego
2,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Tentativa de homicidio
3,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Homicidio culposo por tránsito vehicular (colisión)
4,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Homicidio,01.01,Homicidios intencionales (otros)
5,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Homicidio,01.01,Homicidio por arma blanca
6,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Homicidio,01.01,Homicidio por golpes
7,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Homicidio culposo por tránsito vehicular (atropellado)
8,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Homicidio culposo por arma de fuego
9,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Homicidio,01.01,Homicidio por ahorcamiento
10,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Homicidio culposo por tránsito vehicular
11,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Homicidio culposo
12,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Homicidio,01.01,Homicidio culposo por instrumento punzo cortante
13,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Homicidio,01.01,Homicidio por inmersión
14,Con violencia,La vida y la integridad corporal,Homicidio,Delito de bajo impacto,Feminicidio,01.02,Tentativa de feminicidio
15,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Feminicidio,01.02,Feminicidio por golpes
16,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Feminicidio,01.02,Feminicidio por disparo de arma de fuego
17,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Feminicidio,01.02,Feminicidio
18,Con violencia,La vida y la integridad corporal,Homicidio,Homicidio doloso,Feminicidio,01.02,Feminicidio por arma blanca
19,Con violencia,La vida y la integridad corporal,Lesiones,Delito de bajo impacto,Lesiones,01.04,Lesiones culposas por tránsito vehicular en colisión
20,Con violencia,La vida y la integridad corporal,Lesiones,Delito de bajo impacto,Lesiones,01.04,Lesiones culposas por tránsito vehicular
21,Con violencia,La vida y la integridad corporal,Lesiones,Delito de bajo impacto,Lesiones,01.04,Lesiones intencionales por golpes
22,Con violencia,La vida y la integridad corporal,Lesiones,Delito de bajo impacto,Lesiones,01.04,Lesiones intencionales por arma blanca
23,Con violencia,La vida y la integridad corporal,Lesiones,Delito de bajo impacto,Lesiones,01.04,Lesiones culposas
24,Con violencia,La vida y la integridad corporal,Lesiones,Delito de bajo impacto,Lesiones,01.04,Lesiones culposas por caida
25,Sin violencia,La libertad personal,Privación de la libertad,Delito de bajo impacto,Privación de la libertad,02.01,Privación de la libertad personal
26,Con violencia,La libertad personal,Tráfico de menores,Delito de bajo impacto,Tráfico de menores,02.02,Robo de infante
27,No especifica,La libertad personal,Tráfico de menores,Delito de bajo impacto,Tráfico de menores,02.02,Entrega ilegítima de un menor
28,Con violencia,La libertad personal,Tráfico de menores,Delito de bajo impacto,Tráfico de menores,02.02,Tráfico de infantes
29,No especifica,La libertad personal,Retención o sustracción de menores incapaces,Delito de bajo impacto,Retención o sustracción de menores incapaces,02.03,Retención de menores
30,No especifica,La libertad personal,Retención o sustracción de menores incapaces,Delito de bajo impacto,Retención o sustracción de menores incapaces,02.03,Sustracción de menores
31,Con violencia,La libertad personal,Secuestro,Secuestro,Secuestro,02.06,Secuestro
32,Con violencia,La libertad personal,Secuestro,Delito de bajo impacto,Secuestro exprés,02.06.04,Secuestro express (para cometer robo o extorsión)
33,Con violencia,La libertad y la seguridad sexual,Abuso sexual,Delito de bajo impacto,Abuso sexual,03.01,Abuso sexual
34,Con violencia,La libertad y la seguridad sexual,Acoso sexual,Delito de bajo impacto,Acoso sexual,03.02,Acoso sexual agravado en contra de menores
35,Con violencia,La libertad y la seguridad sexual,Acoso sexual,Delito de bajo impacto,Acoso sexual,03.02,Acoso sexual
36,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Violación simple,03.04.01,Violación
37,Con violencia,La libertad y la seguridad sexual,Violación,Delito de bajo impacto,Violación simple,03.04.01,Tentativa de violación
38,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Violación equiparada,03.04.02,Violación equiparada
39,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Violación equiparada,03.04.02,Violación equiparada por conocido
40,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Otro tipo de violación,03.04.99,Violación tumultuaria
41,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Otro tipo de violación,03.04.99,Violación tumultuaria equiparada
42,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Otro tipo de violación,03.04.99,Violación tumultuaria equiparada por conocido
43,Con violencia,La libertad y la seguridad sexual,Violación,Violación,Otro tipo de violación,03.04.99,Violación y robo de vehículo
44,Con violencia,La libertad y la seguridad sexual,Estupro,Delito de bajo impacto,Estupro,03.05,Estupro
45,Con violencia,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Delito de bajo impacto,Otros delitos que atentan contra la libertad y la seguridad sexual,03.99,Contra la intimidad sexual
46,Con violencia,La libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,Delito de bajo impacto,Otros delitos que atentan contra la libertad y la seguridad sexual,03.99,Privación de la libertad personal (realizar acto sexual)
47,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo simple,04.01.01,Robo de alhajas
48,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo simple,04.01.01,Robo de vehículo de pedales
49,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo simple,04.01.01,Tentativa de robo
50,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo simple,04.01.01,Robo de objetos
51,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo simple,04.01.01,Robo de dinero
52,Con violencia,El patrimonio,Robo,Delito de bajo impacto,Robo de vehículo,04.01.03,Robo a transeúnte y vehículo con violencia
53,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo de vehículo,04.01.03,Robo de vehículo eléctrico motopatín
54,Con violencia,El patrimonio,Violación,Violación,Robo de vehículo,04.01.03,Violación equiparada y robo de vehículo
55,Con violencia,El patrimonio,Robo,Robo de vehículo con y sin violencia,Robo de vehículo,04.01.03,Robo de vehículo de servicio de transporte con violencia
56,Con violencia,El patrimonio,Robo,Delito de bajo impacto,Robo de vehículo,04.01.03,Lesiones intencionales y robo de vehículo
57,Sin violencia,El patrimonio,Robo,Robo de vehículo con y sin violencia,Robo de vehículo,04.01.03,Robo de vehículo de servicio de transporte sin violencia
58,No especifica,El patrimonio,Robo,Delito de bajo impacto,Robo de vehículo,04.01.03,Tentativa de robo de vehículo
59,Sin violencia,El patrimonio,Robo,Robo de vehículo con y sin violencia,Robo de vehículo,04.01.03,Robo de vehículo de servicio público sin violencia
