id_equip_urbano,id_espacio,ambito,condicion,geografico,tipo,nombre
1,2930,Urbana,En Operación,Pozo,Agua,Ninguno
2,4376,Urbana,En Operación,Escuela,Medio Superior,Lázaro Cárdenas del Río
3,3075,Urbana,No Aplica,Mercado,No Aplica,Centenario
4,3066,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Centro de Extensión Plateros
5,3076,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,Herón Proal
6,8249,Urbana,En Operación,Templo,No Aplica,San Francisco
7,8264,Urbana,En Operación,Escuela,Preescolar,Virginia Monasterio
8,8265,Urbana,En Operación,Escuela,Primaria,Laura Méndez de Cuenca
9,7071,Urbana,En Operación,Templo,No Aplica,Adventista Del Séptimo Día
10,7072,Urbana,En Operación,Templo,No Aplica,La Asunción de Santa María Nonoalco
11,8266,Urbana,En Operación,Escuela,Preescolar,Yoloxochitl
12,7131,Urbana,En Operación,Templo,No Aplica,Sagrado Corazón de María
13,7132,Urbana,En Operación,Templo,No Aplica,Nuestra Señora de Guadalupe
14,7945,Urbana,En Operación,Templo,No Aplica,Rectoría de Corpus Cristi
15,8258,Urbana,En Operación,Templo,No Aplica,Santisima Trinidad
16,5570,Urbana,En Operación,Escuela,Primaria,República de Camerún
17,7154,Urbana,En Operación,Centro de Asistencia Médica,Centro de Salud,El Pirú
18,5521,Urbana,En Operación,Instalación Deportiva o Recreativa,Alberca Olímpica,El Mago Septien
19,5522,Urbana,En Operación,Escuela,Preescolar,Doctor Arnold Geseii
20,2922,Urbana,En Operación,Templo,No Aplica,Santa María de la Natividad
21,5381,Urbana,En Operación,Escuela,Primaria,María Patiño Viuda de Olmedo
22,5382,Urbana,En Operación,Escuela,Preescolar,Topiltzin
23,5383,Urbana,En Operación,Templo,No Aplica,La Divina Providencia
24,5384,Urbana,En Operación,Escuela,Primaria,General Ignacio Zaragoza
25,2923,Urbana,En Operación,Escuela,Primaria,Juan Escutia
26,2924,Urbana,No Aplica,Cementerio,No Aplica,Ninguno
27,8250,Urbana,En Operación,Templo,No Aplica,Parroquia de las Bienaventuranzas
28,7110,Urbana,En Operación,Templo,No Aplica,Iglesia Evangélica Belén
29,7087,Urbana,En Operación,Templo,No Aplica,Inmaculada Concepción
30,7709,Urbana,En Operación,Escuela,Mixto,Colegio Bilbao
31,2931,Urbana,En Operación,Templo,No Aplica,Ninguno
32,7719,Urbana,En Operación,Escuela,Medio Superior,Centro de Estudios Tecnológicos Industrial y de Servicios Número 52
33,7720,Urbana,En Operación,Templo,No Aplica,Ninguno
34,7699,Urbana,En Operación,Templo,No Aplica,Sagrado Corazón de María Colonia Educación
35,2932,Urbana,En Operación,Templo,No Aplica,Iglesia de la Cruz
36,7700,Urbana,En Operación,Templo,No Aplica,San Miguel Arcángel
37,7701,Urbana,En Operación,Escuela,Superior,Universidad Anáhuac México Campus Sur
38,7702,Urbana,En Operación,Escuela,Mixto,The Edron Academy Colegio Británico AC
