cve_est,id_espacio,sistema,tipo,nivel_circulacion_transporte,linea,anio_apertura,num_estacion,nombre,cantidad_transbordos_metro,cantidad_transbordos_metrobus,zona,alcaldia,cve_mun_inegi,sector,id_sector_ssc,longitud,latitud
MB0102,1,Metrobús,Transbordo,Nivel de suelo,L1,2005,2,Deportivo 18 de Marzo,2,2,Norte,Gustavo A. Madero,5,Tepeyac,328.0,-99.1245316988,19.4862853793
MB0103,2,Metrobús,Intermedia,Nivel de suelo,L1,2005,3,Euzkaro,0,0,Norte,Gustavo A. Madero,5,Lindavista,600.0,-99.1276322339,19.4825191017
MB0104,3,Metrobús,Intermedia,Nivel de suelo,L1,2005,4,Potrero,1,0,Norte,Gustavo A. Madero,5,Lindavista,600.0,-99.1324682384,19.4766384713
MB0105,4,Metrobús,Transbordo,Nivel de suelo,L1,2005,5,La Raza,2,1,Norte,Gustavo A. Madero,5,Lindavista,597.0,-99.1389866641,19.4687000501
MB0106,5,Metrobús,Transbordo,Nivel de suelo,L1,2005,6,Circuito,0,0,Centro,Cuauhtémoc,15,Tlatelolco,547.0,-99.1440067682,19.4626127667
MB0107,6,Metrobús,Intermedia,Nivel de suelo,L1,2005,7,San Simón,0,0,Centro,Cuauhtémoc,15,Tlatelolco,547.0,-99.1464243451,19.459632536
MB0108,7,Metrobús,Intermedia,Nivel de suelo,L1,2005,8,Manuel González,0,0,Centro,Cuauhtémoc,15,Tlatelolco,6.0,-99.1493885158,19.4567355629
MB0109,8,Metrobús,Transbordo,Nivel de suelo,L1,2005,9,Buenavista,1,2,Centro,Cuauhtémoc,15,Buenavista,555.0,-99.1531306653,19.4468379515
MB0110,9,Metrobús,Intermedia,Nivel de suelo,L1,2005,10,El Chopo,0,0,Centro,Cuauhtémoc,15,Buenavista,292.0,-99.1544111338,19.4433450826
MB0111,10,Metrobús,Intermedia,Nivel de suelo,L1,2005,11,Revolución,1,0,Centro,Cuauhtémoc,15,Buenavista,556.0,-99.1554103798,19.440352788
MB0112,11,Metrobús,Transbordo,Nivel de suelo,L1,2005,12,Plaza de la República,0,0,Centro,Cuauhtémoc,15,Ángel,561.0,-99.1573187419,19.4360459667
MB0113,12,Metrobús,Transbordo,Nivel de suelo,L1,2005,13,Reforma,0,0,Centro,Cuauhtémoc,15,Ángel,561.0,-99.1587145097,19.4328991003
MB0114,13,Metrobús,Transbordo,Nivel de suelo,L1,2005,14,Hamburgo,0,0,Centro,Cuauhtémoc,15,Ángel,307.0,-99.1612354179,19.4275244085
MB0115,14,Metrobús,Terminal,Nivel de suelo,L1,2005,15,Glorieta Insurgentes,1,0,Centro,Cuauhtémoc,15,Ángel,12.0,-99.1628838166,19.4237205293
MB0116,15,Metrobús,Intermedia,Nivel de suelo,L1,2005,16,Durango,0,0,Centro,Cuauhtémoc,15,Roma,346.0,-99.1640556295,19.419932752
MB0117,16,Metrobús,Intermedia,Nivel de suelo,L1,2005,17,Álvaro Obregón,0,0,Centro,Cuauhtémoc,15,Roma,259.0,-99.1650558163,19.4165509918
MB0118,17,Metrobús,Intermedia,Nivel de suelo,L1,2005,18,Sonora,0,0,Centro,Cuauhtémoc,15,Roma,259.0,-99.1661242193,19.4132719254
MB0119,18,Metrobús,Intermedia,Nivel de suelo,L1,2005,19,Campeche,0,0,Centro,Cuauhtémoc,15,Roma,520.0,-99.1672655932,19.4097687539
MB0120,19,Metrobús,Intermedia,Nivel de suelo,L1,2005,20,Chilpancingo,1,0,Centro,Cuauhtémoc,15,Roma,520.0,-99.168304861,19.4065788331
MB0121,20,Metrobús,Transbordo,Nivel de suelo,L1,2005,21,Nuevo León,0,0,Centro,Cuauhtémoc,15,Roma,347.0,-99.1697838557,19.402043182
MB0122,21,Metrobús,Transbordo,Nivel de suelo,L1,2005,22,La Piedad,0,0,Centro,Benito Juárez,14,Del Valle,81.0,-99.1711112024,19.3979703379
MB0123,22,Metrobús,Transbordo,Nivel de suelo,L1,2005,23,Polifórum,0,0,Centro,Benito Juárez,14,Nápoles,452.0,-99.1726250186,19.3932992033
MB0124,23,Metrobús,Transbordo,Nivel de suelo,L1,2005,24,Nápoles,0,0,Centro,Benito Juárez,14,Nápoles,176.0,-99.1737944115,19.3896906524
MB0125,24,Metrobús,Transbordo,Nivel de suelo,L1,2005,25,Colonia del Valle,0,0,Centro,Benito Juárez,14,Nápoles,90.0,-99.1750920705,19.3856861027
