anio,mes,dia,semana_anio,semana_mes,dia_semana
2019,1,1,1,1,Martes
2019,1,2,1,1,Miércoles
2019,1,3,1,1,Jueves
2019,1,4,1,1,Viernes
2019,1,5,1,1,Sábado
2019,1,6,1,1,Domingo
2019,1,7,2,2,Lunes
2019,1,8,2,2,Martes
2019,1,9,2,2,Miércoles
2019,1,10,2,2,Jueves
2019,1,11,2,2,Viernes
2019,1,12,2,2,Sábado
2019,1,13,2,2,Domingo
2019,1,14,3,3,Lunes
2019,1,15,3,3,Martes
2019,1,16,3,3,Miércoles
2019,1,17,3,3,Jueves
2019,1,18,3,3,Viernes
2019,1,19,3,3,Sábado
2019,1,20,3,3,Domingo
2019,1,21,4,4,Lunes
2019,1,22,4,4,Martes
2019,1,23,4,4,Miércoles
2019,1,24,4,4,Jueves
2019,1,25,4,4,Viernes
2019,1,26,4,4,Sábado
2019,1,27,4,4,Domingo
2019,1,28,5,5,Lunes
2019,1,29,5,5,Martes
2019,1,30,5,5,Miércoles
2019,1,31,5,5,Jueves
2019,2,1,5,1,Viernes
2019,2,2,5,1,Sábado
2019,2,3,5,1,Domingo
2019,2,4,6,2,Lunes
2019,2,5,6,2,Martes
2019,2,6,6,2,Miércoles
2019,2,7,6,2,Jueves
2019,2,8,6,2,Viernes
2019,2,9,6,2,Sábado
2019,2,10,6,2,Domingo
2019,2,11,7,3,Lunes
2019,2,12,7,3,Martes
2019,2,13,7,3,Miércoles
2019,2,14,7,3,Jueves
2019,2,15,7,3,Viernes
2019,2,16,7,3,Sábado
2019,2,17,7,3,Domingo
2019,2,18,8,4,Lunes
2019,2,19,8,4,Martes
2019,2,20,8,4,Miércoles
2019,2,21,8,4,Jueves
2019,2,22,8,4,Viernes
2019,2,23,8,4,Sábado
2019,2,24,8,4,Domingo
2019,2,25,9,5,Lunes
2019,2,26,9,5,Martes
2019,2,27,9,5,Miércoles
2019,2,28,9,5,Jueves
2019,3,1,9,1,Viernes
2019,3,2,9,1,Sábado
2019,3,3,9,1,Domingo
2019,3,4,10,2,Lunes
2019,3,5,10,2,Martes
2019,3,6,10,2,Miércoles
2019,3,7,10,2,Jueves
2019,3,8,10,2,Viernes
2019,3,9,10,2,Sábado
2019,3,10,10,2,Domingo
2019,3,11,11,3,Lunes
2019,3,12,11,3,Martes
2019,3,13,11,3,Miércoles
2019,3,14,11,3,Jueves
2019,3,15,11,3,Viernes
2019,3,16,11,3,Sábado
2019,3,17,11,3,Domingo
2019,3,18,12,4,Lunes
2019,3,19,12,4,Martes
2019,3,20,12,4,Miércoles
2019,3,21,12,4,Jueves
2019,3,22,12,4,Viernes
2019,3,23,12,4,Sábado
2019,3,24,12,4,Domingo
2019,3,25,13,5,Lunes
2019,3,26,13,5,Martes
2019,3,27,13,5,Miércoles
2019,3,28,13,5,Jueves
2019,3,29,13,5,Viernes
2019,3,30,13,5,Sábado
2019,3,31,13,5,Domingo
2019,4,1,14,1,Lunes
2019,4,2,14,1,Martes
2019,4,3,14,1,Miércoles
2019,4,4,14,1,Jueves
2019,4,5,14,1,Viernes
2019,4,6,14,1,Sábado
2019,4,7,14,1,Domingo
2019,4,8,15,2,Lunes
2019,4,9,15,2,Martes
2019,4,10,15,2,Miércoles
2019,4,11,15,2,Jueves
2019,4,12,15,2,Viernes
2019,4,13,15,2,Sábado
2019,4,14,15,2,Domingo
2019,4,15,16,3,Lunes
2019,4,16,16,3,Martes
2019,4,17,16,3,Miércoles
2019,4,18,16,3,Jueves
2019,4,19,16,3,Viernes
2019,4,20,16,3,Sábado
2019,4,21,16,3,Domingo
2019,4,22,17,4,Lunes
2019,4,23,17,4,Martes
2019,4,24,17,4,Miércoles
2019,4,25,17,4,Jueves
2019,4,26,17,4,Viernes
2019,4,27,17,4,Sábado
2019,4,28,17,4,Domingo
2019,4,29,18,5,Lunes
2019,4,30,18,5,Martes
2019,5,1,18,1,Miércoles
2019,5,2,18,1,Jueves
2019,5,3,18,1,Viernes
2019,5,4,18,1,Sábado
2019,5,5,18,1,Domingo
2019,5,6,19,2,Lunes
2019,5,7,19,2,Martes
2019,5,8,19,2,Miércoles
2019,5,9,19,2,Jueves
2019,5,10,19,2,Viernes
2019,5,11,19,2,Sábado
2019,5,12,19,2,Domingo
2019,5,13,20,3,Lunes
2019,5,14,20,3,Martes
2019,5,15,20,3,Miércoles
2019,5,16,20,3,Jueves
2019,5,17,20,3,Viernes
2019,5,18,20,3,Sábado
2019,5,19,20,3,Domingo
2019,5,20,21,4,Lunes
2019,5,21,21,4,Martes
2019,5,22,21,4,Miércoles
2019,5,23,21,4,Jueves
2019,5,24,21,4,Viernes
2019,5,25,21,4,Sábado
2019,5,26,21,4,Domingo
2019,5,27,22,5,Lunes
2019,5,28,22,5,Martes
2019,5,29,22,5,Miércoles
2019,5,30,22,5,Jueves
