cve_est,sistema,tipo,linea,nombre,latitud,longitud
STC0101,STC Metro,Terminal / Transbordo,L1,Pantitlán,19.4163340855965,-99.0747357270116
STC0102,STC Metro,Intermedia,L1,Zaragoza,19.4119204559374,-99.0822888117768
STC0103,STC Metro,Intermedia,L1,Gómez Farías,19.4164784569074,-99.0902103917112
STC0104,STC Metro,Intermedia,L1,Boulevard Puerto Aéreo,19.4199419648502,-99.0962587324102
STC0105,STC Metro,Intermedia,L1,Balbuena,19.4233553355752,-99.1027743639742
STC0106,STC Metro,Intermedia,L1,Moctezuma,19.4268543466697,-99.1097992691048
STC0107,STC Metro,Transbordo,L1,San Lázaro,19.4300588496139,-99.1142609523939
STC0108,STC Metro,Transbordo,L1,Candelaria,19.4295401407106,-99.1209095500559
STC0109,STC Metro,Intermedia,L1,Merced,19.4254875715741,-99.1250254185176
STC0110,STC Metro,Transbordo,L1,Pino Suárez,19.4259234951079,-99.1326386119938
STC0111,STC Metro,Intermedia,L1,Isabel la Católica,19.4263935117982,-99.1378304564626
STC0112,STC Metro,Transbordo,L1,Salto del Agua,19.4269481897419,-99.1434062938696
STC0113,STC Metro,Transbordo,L1,Balderas,19.4269978760889,-99.1494811514285
STC0114,STC Metro,Intermedia,L1,Cuauhtémoc,19.4256611110838,-99.1545979513498
STC0115,STC Metro,Intermedia,L1,Insurgentes,19.4236518006073,-99.1632888794771
STC0116,STC Metro,Intermedia,L1,Sevilla,19.4218499159216,-99.1711190739149
STC0117,STC Metro,Intermedia,L1,Chapultepec,19.4207462950474,-99.1764167315705
STC0118,STC Metro,Intermedia,L1,Juanacatlán,19.4129516424911,-99.1819838294788
STC0119,STC Metro,Transbordo,L1,Tacubaya,19.4025138023399,-99.1876365263169
STC0120,STC Metro,Terminal,L1,Observatorio,19.3982823756993,-99.2004047460461
STC0201,STC Metro,Terminal,L2,Cuatro Caminos,19.4595932084921,-99.2158424896968
STC0202,STC Metro,Intermedia,L2,Panteones,19.4586385607701,-99.2029491295272
STC0203,STC Metro,Transbordo,L2,Tacuba,19.4593760107187,-99.1882309344141
STC0204,STC Metro,Intermedia,L2,Cuitláhuac,19.4572538897392,-99.1814957679122
STC0205,STC Metro,Intermedia,L2,Popotla,19.4529092198016,-99.1754938143412
STC0206,STC Metro,Intermedia,L2,Colegio Militar,19.4492735549972,-99.1717792333168
STC0207,STC Metro,Intermedia,L2,Normal,19.4445577055246,-99.1672740374105
STC0208,STC Metro,Intermedia,L2,San Cosme,19.4419042544265,-99.1606620728068
STC0209,STC Metro,Intermedia,L2,Revolución,19.4392271791397,-99.1542278257134
STC0210,STC Metro,Transbordo,L2,Hidalgo,19.4375467479036,-99.1472234055158
STC0211,STC Metro,Transbordo,L2,Bellas Artes,19.436377755896,-99.1416136373712
STC0212,STC Metro,Intermedia,L2,Allende,19.4355580032712,-99.136867840237
STC0213,STC Metro,Intermedia,L2,Zócalo/Tenochtitlan,19.4325019109759,-99.1322510732777
STC0214,STC Metro,Transbordo,L2,Pino Suárez,19.4243847117224,-99.1329418267059
STC0215,STC Metro,Intermedia,L2,San Antonio Abad,19.4160216470691,-99.1345398741567
STC0216,STC Metro,Transbordo,L2,Chabacano,19.4091798692776,-99.1356181172527
STC0217,STC Metro,Intermedia,L2,Viaducto,19.400868658019,-99.1368995924884
STC0218,STC Metro,Intermedia,L2,Xola,19.3952105099504,-99.1378081793211
STC0219,STC Metro,Intermedia,L2,Villa de Cortés,19.387581775826,-99.1389591662212
STC0220,STC Metro,Intermedia,L2,Nativitas,19.3795327609136,-99.1401878897076
STC0221,STC Metro,Intermedia,L2,Portales,19.369924838668,-99.1415735549144
STC0222,STC Metro,Transbordo,L2,Ermita,19.3619792997643,-99.1429037615247
STC0223,STC Metro,Intermedia,L2,General Anaya,19.3532359148612,-99.1450063629545
STC0224,STC Metro,Terminal,L2,Tasqueña,19.3437570982777,-99.1395327763843
STC0301,STC Metro,Terminal,L3,Indios Verdes,19.4953376186457,-99.1195099382592
STC0302,STC Metro,Transbordo,L3,Deportivo 18 de Marzo,19.4851141513425,-99.1254979171246
STC0303,STC Metro,Intermedia,L3,Potrero,19.4771920114807,-99.132013682994
STC0304,STC Metro,Transbordo,L3,La Raza,19.468880133789,-99.1395062302247
STC0305,STC Metro,Intermedia,L3,Tlatelolco,19.4550581428037,-99.1431330841341
STC0306,STC Metro,Transbordo,L3,Guerrero,19.4447263348284,-99.1451933440698
STC0307,STC Metro,Transbordo,L3,Hidalgo,19.4373823922626,-99.1467827213369
STC0308,STC Metro,Intermedia,L3,Juárez,19.4332503464504,-99.1476833057632
STC0309,STC Metro,Transbordo,L3,Balderas,19.426480093367,-99.1490604800387
STC0310,STC Metro,Intermedia,L3,Niños Héroes/Poder Judicial CDMX,19.4194843101919,-99.1503642652194
STC0311,STC Metro,Intermedia,L3,Hospital General,19.4137587535794,-99.153245361779
STC0312,STC Metro,Transbordo,L3,Centro Médico,19.4074531474438,-99.1551346895237
STC0313,STC Metro,Intermedia,L3,Etiopía/Plaza de la Transparencia,19.3959205316174,-99.1560314153493
STC0314,STC Metro,Intermedia,L3,Eugenia,19.3861685181154,-99.1572045975661
STC0315,STC Metro,Intermedia,L3,División del Norte,19.3791844354023,-99.1594791658047
STC0316,STC Metro,Transbordo,L3,Zapata,19.3711917865544,-99.1645102976557
STC0317,STC Metro,Intermedia,L3,Coyoacán,19.3613590773501,-99.1708615273429
STC0318,STC Metro,Intermedia,L3,Viveros/Derechos Humanos,19.3534590245247,-99.1760010860638
STC0319,STC Metro,Intermedia,L3,Miguel Ángel de Quevedo,19.3462518330859,-99.1807566556441
STC0320,STC Metro,Intermedia,L3,Copilco,19.3360992748033,-99.176973595216
STC0321,STC Metro,Terminal,L3,Universidad,19.3243534828943,-99.1739384555895
STC0401,STC Metro,Terminal / Transbordo,L4,Santa Anita,19.402891572701,-99.1216956042586
STC0402,STC Metro,Transbordo,L4,Jamaica,19.4109150604184,-99.1217435881252
STC0403,STC Metro,Intermedia,L4,Fray Servando,19.4215902668852,-99.1205334529446
STC0404,STC Metro,Transbordo,L4,Candelaria,19.4287642237116,-99.1194262857993
STC0405,STC Metro,Transbordo,L4,Morelos,19.4396641648923,-99.1181521225066
STC0406,STC Metro,Intermedia,L4,Canal del Norte,19.448945007975,-99.116133050764
STC0407,STC Metro,Transbordo,L4,Consulado,19.4580181992165,-99.1139038484711
STC0408,STC Metro,Intermedia,L4,Bondojito,19.4646312013462,-99.1119767785032
STC0409,STC Metro,Intermedia,L4,Talismán,19.4743583148983,-99.1080122386153
STC0410,STC Metro,Terminal / Transbordo,L4,Martín Carrera,19.4850441446716,-99.1043694774545
